psraid,sample,state,cregion,usr,pial1a,pial2,pial3a,pial3b,pial3c,employ,par,sex,age,educ2,hisp,race,inc
197,Landline,North Carolina,South,Urban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Female,53,"Some college, no degree (includes some community college)",No,White,"$30,000 to under $40,000"
198,Landline,Maryland,South,Suburban,Yes,"Yes, smartphone","Yes, have done this","Yes, have done this","Yes, have done this",Employed part-time,No,Female,20,Two year associate degree from a college or university,No,Black or African-American,"$30,000 to under $40,000"
199,Landline,Minnesota,Midwest,Suburban,Yes,"Yes, smartphone","Yes, have done this","Yes, have done this","Yes, have done this",Employed full-time,No,Female,70,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,"$100,000 to under $150,000"
200,Landline,Massachusetts,Northeast,Suburban,Yes,"Yes, smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Female,70,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,"$50,000 to under $75,000"
201,Landline,Florida,South,Urban,No,NA,NA,NA,NA,Not employed,No,Female,75,Two year associate degree from a college or university,No,Black or African-American,"$30,000 to under $40,000"
202,Landline,Virginia,South,Suburban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Female,NA,"Some college, no degree (includes some community college)",No,White,(DO NOT READ) Donêt know/Refused
203,Landline,Virginia,South,Suburban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Not employed,No,Female,76,"Some college, no degree (includes some community college)",No,White,"$20,000 to under $30,000"
204,Landline,Missouri,Midwest,Suburban,No,NA,NA,NA,NA,Not employed,No,Female,75,High school graduate (Grade 12 with diploma or GED certificate),No,Black or African-American,"Less than $10,000"
205,Landline,Alabama,South,Urban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Employed part-time,No,Male,66,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$30,000 to under $40,000"
206,Landline,Louisiana,South,Urban,Yes,"Yes, smartphone","No, have not done this","No, have not done this","No, have not done this",Employed full-time,No,Male,68,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,"$30,000 to under $40,000"
207,Landline,Indiana,Midwest,Urban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this",Cell phone is not able to do this (VOL.),Employed full-time,No,Male,45,"Some college, no degree (includes some community college)",No,White,"$50,000 to under $75,000"
208,Landline,Arkansas,South,Rural,No,NA,NA,NA,NA,Not employed,No,Female,78,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$150,000 or over"
209,Landline,Florida,South,Suburban,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,Yes,Male,43,"Some college, no degree (includes some community college)",Yes,White,"$20,000 to under $30,000"
210,Landline,Florida,South,Rural,Yes,"No, not a smartphone","No, have not done this","No, have not done this","Yes, have done this",Not employed,No,Male,68,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),No,White,"$10,000 to under $20,000"
211,Landline,Oklahoma,South,Urban,Yes,"Yes, smartphone","No, have not done this","No, have not done this","No, have not done this",Employed full-time,No,Male,50,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,(DO NOT READ) Donêt know/Refused
212,Landline,North Carolina,South,Rural,Yes,"Yes, smartphone","Yes, have done this","Yes, have done this","Yes, have done this",Employed part-time,No,Female,22,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,"$100,000 to under $150,000"
213,Landline,Minnesota,Midwest,Rural,No,NA,NA,NA,NA,Not employed,No,Female,63,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$20,000 to under $30,000"
214,Landline,Missouri,Midwest,Rural,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,Yes,Female,34,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$50,000 to under $75,000"
215,Landline,Florida,South,Suburban,Yes,"Yes, smartphone","No, have not done this","No, have not done this","No, have not done this",Employed full-time,Yes,Female,49,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,"$75,000 to under $100,000"
216,Landline,Indiana,Midwest,Rural,Yes,"Yes, smartphone","No, have not done this","No, have not done this","No, have not done this",Employed full-time,No,Male,57,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$40,000 to under $50,000"
217,Landline,Minnesota,Midwest,Rural,No,NA,NA,NA,NA,Not employed,No,Male,53,High school graduate (Grade 12 with diploma or GED certificate),No,(DO NOT READ) Donêt know/Refused,(DO NOT READ) Donêt know/Refused
218,Landline,Texas,South,Rural,No,NA,NA,NA,NA,Employed full-time,Yes,Male,30,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),Yes,White,"$30,000 to under $40,000"
219,Landline,North Carolina,South,Suburban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this",Cell phone is not able to do this (VOL.),Not employed,No,Female,64,"Some college, no degree (includes some community college)",No,White,"$50,000 to under $75,000"
220,Landline,Arizona,West,Rural,No,NA,NA,NA,NA,Not employed,Yes,Female,47,High school graduate (Grade 12 with diploma or GED certificate),No,(DO NOT READ) Donêt know/Refused,"Less than $10,000"
221,Landline,Iowa,Midwest,Rural,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Female,77,"Some college, no degree (includes some community college)",No,White,"$50,000 to under $75,000"
222,Landline,Arizona,West,Urban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Not employed,No,Female,24,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,"$10,000 to under $20,000"
223,Landline,Georgia,South,Suburban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Male,62,Two year associate degree from a college or university,No,White,"Less than $10,000"
224,Landline,Pennsylvania,Northeast,Suburban,No,NA,NA,NA,NA,Not employed,Yes,Female,31,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),No,Mixed race,"$20,000 to under $30,000"
225,Landline,Tennessee,South,Suburban,No,NA,NA,NA,NA,Not employed,No,Female,72,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),No,White,(DO NOT READ) Donêt know/Refused
226,Landline,Illinois,Midwest,Suburban,Yes,Not sure/Don't know,"No, have not done this","No, have not done this","No, have not done this",Not employed,No,Female,NA,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),No,White,"$150,000 or over"
227,Landline,Wisconsin,Midwest,Rural,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Female,78,"Some college, no degree (includes some community college)",No,White,"$20,000 to under $30,000"
228,Landline,Arizona,West,Suburban,No,NA,NA,NA,NA,Not employed,No,Female,60,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$40,000 to under $50,000"
229,Landline,Minnesota,Midwest,Rural,No,NA,NA,NA,NA,Not employed,No,Male,85,"Some college, no degree (includes some community college)",No,White,(DO NOT READ) Donêt know/Refused
230,Landline,Michigan,Midwest,Rural,No,NA,NA,NA,NA,Employed full-time,No,Male,61,Two year associate degree from a college or university,No,White,"$30,000 to under $40,000"
231,Landline,Missouri,Midwest,Rural,No,NA,NA,NA,NA,Not employed,No,Female,81,High school graduate (Grade 12 with diploma or GED certificate),No,White,(DO NOT READ) Donêt know/Refused
232,Landline,Ohio,Midwest,Rural,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,No,Male,55,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$50,000 to under $75,000"
233,Landline,New Jersey,Northeast,Suburban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Male,65,Two year associate degree from a college or university,No,White,"$75,000 to under $100,000"
234,Landline,Arizona,West,Suburban,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,No,Male,59,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,"$100,000 to under $150,000"
235,Landline,Texas,South,Suburban,Yes,"Yes, smartphone","No, have not done this","No, have not done this","No, have not done this",Employed full-time,No,Male,51,"Some college, no degree (includes some community college)",No,White,"$75,000 to under $100,000"
236,Landline,Ohio,Midwest,Suburban,Yes,"Yes, smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Male,80,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,"$40,000 to under $50,000"
237,Landline,Michigan,Midwest,Suburban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Female,62,"Some college, no degree (includes some community college)",No,White,"$75,000 to under $100,000"
238,Landline,Michigan,Midwest,Suburban,Yes,"No, not a smartphone","Yes, have done this",Cell phone is not able to do this (VOL.),Cell phone is not able to do this (VOL.),Employed part-time,No,Male,65,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,"$75,000 to under $100,000"
239,Landline,Arizona,West,Urban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,Yes,Female,50,"Some college, no degree (includes some community college)",No,White,"Less than $10,000"
240,Landline,Minnesota,Midwest,Suburban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Female,74,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,"$50,000 to under $75,000"
241,Landline,Wisconsin,Midwest,Urban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Female,75,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$10,000 to under $20,000"
242,Landline,Pennsylvania,Northeast,Rural,No,NA,NA,NA,NA,Not employed,No,Female,82,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$30,000 to under $40,000"
243,Landline,California,West,Urban,Yes,"Yes, smartphone","No, have not done this","No, have not done this","No, have not done this",Employed full-time,No,Female,64,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,"$100,000 to under $150,000"
244,Landline,New York,Northeast,Suburban,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","Yes, have done this",Not employed,Yes,Male,27,"Some college, no degree (includes some community college)",Yes,Black or African-American,"Less than $10,000"
245,Landline,Pennsylvania,Northeast,Urban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Employed part-time,Yes,Male,23,"Some college, no degree (includes some community college)",No,White,"$10,000 to under $20,000"
246,Landline,Florida,South,Suburban,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","No, have not done this",Not employed,No,Female,60,"Some postgraduate or professional schooling, no postgraduate degree",Yes,Black or African-American,"$100,000 to under $150,000"
247,Landline,California,West,Urban,No,NA,NA,NA,NA,Not employed,No,Male,31,High school graduate (Grade 12 with diploma or GED certificate),No,White,"Less than $10,000"
248,Landline,Washington,West,Urban,No,NA,NA,NA,NA,Not employed,No,Female,57,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,"$40,000 to under $50,000"
249,Landline,Colorado,West,Suburban,Yes,"Yes, smartphone","No, have not done this","No, have not done this","No, have not done this",Employed full-time,No,Female,48,"Some college, no degree (includes some community college)",No,White,"$75,000 to under $100,000"
250,Landline,New York,Northeast,Urban,No,NA,NA,NA,NA,Not employed,Yes,Female,29,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),No,Black or African-American,"Less than $10,000"
251,Landline,California,West,Suburban,Yes,"Yes, smartphone","No, have not done this","Yes, have done this","Yes, have done this",Employed full-time,Yes,Male,38,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,Asian or Pacific Islander,"$100,000 to under $150,000"
252,Landline,Colorado,West,Urban,No,NA,NA,NA,NA,Not employed,No,Male,72,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,(DO NOT READ) Donêt know/Refused,(DO NOT READ) Donêt know/Refused
253,Landline,Arizona,West,Suburban,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,No,Female,50,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,(DO NOT READ) Donêt know/Refused
254,Landline,Idaho,West,Urban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Employed part-time,No,Male,64,"Some college, no degree (includes some community college)",No,White,"$100,000 to under $150,000"
255,Landline,Idaho,West,Suburban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,Yes,Male,41,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,"$20,000 to under $30,000"
256,Landline,Utah,West,Suburban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Employed full-time,Yes,Female,54,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,(DO NOT READ) Donêt know/Refused,"$50,000 to under $75,000"
257,Landline,California,West,Suburban,Yes,Not sure/Don't know,"No, have not done this","No, have not done this","No, have not done this",Not employed,No,Male,79,High school graduate (Grade 12 with diploma or GED certificate),Yes,White,"$10,000 to under $20,000"
258,Landline,Tennessee,South,Rural,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Not employed,No,Male,76,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$50,000 to under $75,000"
259,Landline,Tennessee,South,Urban,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","No, have not done this",Not employed,Yes,Female,24,"Some college, no degree (includes some community college)",No,Black or African-American,"$20,000 to under $30,000"
260,Landline,Tennessee,South,Suburban,Yes,Not sure/Don't know,(DO NOT READ) Refused,(DO NOT READ) Refused,(DO NOT READ) Refused,Not employed,No,Male,82,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,"$50,000 to under $75,000"
261,Landline,Tennessee,South,Suburban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Female,64,High school graduate (Grade 12 with diploma or GED certificate),No,White,"Less than $10,000"
262,Landline,Florida,South,Urban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Not employed,No,Female,66,"Some college, no degree (includes some community college)",No,Black or African-American,"$40,000 to under $50,000"
263,Landline,New York,Northeast,Suburban,Yes,Not sure/Don't know,"No, have not done this","No, have not done this","No, have not done this",Not employed,No,Male,80,"Some postgraduate or professional schooling, no postgraduate degree",No,White,(DO NOT READ) Donêt know/Refused
264,Landline,Tennessee,South,Suburban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Female,73,High school graduate (Grade 12 with diploma or GED certificate),No,White,(DO NOT READ) Donêt know/Refused
265,Landline,Ohio,Midwest,Suburban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,No,Male,50,"Some postgraduate or professional schooling, no postgraduate degree",No,White,"$50,000 to under $75,000"
266,Landline,Mississippi,South,Rural,No,NA,NA,NA,NA,Not employed,No,Female,88,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,(DO NOT READ) Donêt know/Refused
267,Landline,Tennessee,South,Suburban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Female,74,High school graduate (Grade 12 with diploma or GED certificate),No,White,(DO NOT READ) Donêt know/Refused
268,Landline,Oregon,West,Suburban,Yes,"Yes, smartphone","No, have not done this","Yes, have done this","No, have not done this",Employed full-time,No,Male,31,Two year associate degree from a college or university,No,White,"$10,000 to under $20,000"
269,Landline,North Carolina,South,Suburban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,Yes,Male,40,High school graduate (Grade 12 with diploma or GED certificate),No,White,"Less than $10,000"
270,Landline,Texas,South,Rural,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed part-time,No,Female,21,"Some college, no degree (includes some community college)",Yes,White,"$20,000 to under $30,000"
271,Landline,Texas,South,Suburban,Yes,"Yes, smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Female,73,"Some college, no degree (includes some community college)",No,White,"$40,000 to under $50,000"
272,Landline,Virginia,South,Urban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Female,65,High school graduate (Grade 12 with diploma or GED certificate),No,Black or African-American,"$20,000 to under $30,000"
273,Landline,Oklahoma,South,Suburban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Employed full-time,No,Male,64,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),No,White,"$40,000 to under $50,000"
274,Landline,California,West,Suburban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Female,72,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$30,000 to under $40,000"
275,Landline,Pennsylvania,Northeast,Suburban,No,NA,NA,NA,NA,Employed full-time,No,Female,24,High school graduate (Grade 12 with diploma or GED certificate),No,Black or African-American,"Less than $10,000"
276,Landline,Illinois,Midwest,Suburban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Not employed,No,Male,67,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$20,000 to under $30,000"
277,Landline,California,West,Urban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Male,85,"Some college, no degree (includes some community college)",No,White,"Less than $10,000"
278,Landline,California,West,Suburban,Yes,"No, not a smartphone","Yes, have done this","Yes, have done this","No, have not done this",Not employed,No,Female,69,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),No,White,(DO NOT READ) Donêt know/Refused
279,Landline,California,West,Urban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","Yes, have done this",Employed full-time,Yes,Female,55,Two year associate degree from a college or university,No,White,"$40,000 to under $50,000"
280,Landline,Missouri,Midwest,Suburban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Male,74,"Some college, no degree (includes some community college)",No,White,"$30,000 to under $40,000"
281,Landline,Nevada,West,Urban,No,NA,NA,NA,NA,Employed full-time,No,Male,43,High school graduate (Grade 12 with diploma or GED certificate),No,Black or African-American,"$150,000 or over"
282,Landline,Washington,West,Suburban,No,NA,NA,NA,NA,Employed full-time,Yes,Male,47,"Some postgraduate or professional schooling, no postgraduate degree",No,White,"$75,000 to under $100,000"
283,Landline,California,West,Urban,No,NA,NA,NA,NA,Not employed,No,Male,73,"Some college, no degree (includes some community college)",No,White,(DO NOT READ) Donêt know/Refused
284,Landline,Texas,South,Urban,No,NA,NA,NA,NA,Not employed,No,Male,55,"Some college, no degree (includes some community college)",No,Native American/American Indian,"Less than $10,000"
285,Landline,California,West,Suburban,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","No, have not done this",Not employed,No,Female,61,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),Yes,Other (SPECIFY),"$20,000 to under $30,000"
286,Landline,Illinois,Midwest,Suburban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Employed full-time,No,Male,NA,"Some college, no degree (includes some community college)",No,White,"$40,000 to under $50,000"
287,Landline,Washington,West,Suburban,Yes,"Yes, smartphone","No, have not done this","Yes, have done this","No, have not done this",Employed full-time,No,Female,29,Two year associate degree from a college or university,No,Asian or Pacific Islander,"$10,000 to under $20,000"
288,Landline,Missouri,Midwest,Rural,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Female,65,"Some college, no degree (includes some community college)",No,White,"Less than $10,000"
289,Landline,California,West,Suburban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Male,69,High school graduate (Grade 12 with diploma or GED certificate),No,White,"Less than $10,000"
290,Landline,Minnesota,Midwest,Suburban,Yes,"Yes, smartphone","No, have not done this","Yes, have done this","No, have not done this",Employed full-time,Yes,Male,37,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,"$100,000 to under $150,000"
291,Landline,Missouri,Midwest,Urban,No,NA,NA,NA,NA,Employed full-time,No,Male,50,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,"$150,000 or over"
292,Landline,Texas,South,Urban,Yes,"Yes, smartphone","No, have not done this","No, have not done this","No, have not done this",Employed part-time,No,Male,67,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,"$75,000 to under $100,000"
293,Landline,Washington,West,Suburban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Employed part-time,No,Female,62,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,"$30,000 to under $40,000"
294,Landline,California,West,Suburban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Female,81,"Some college, no degree (includes some community college)",No,White,"$20,000 to under $30,000"
295,Landline,California,West,Urban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Employed part-time,Yes,Male,44,Two year associate degree from a college or university,No,White,"$50,000 to under $75,000"
296,Landline,Nevada,West,Urban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Male,59,"Some college, no degree (includes some community college)",No,White,"Less than $10,000"
297,Landline,Oregon,West,Suburban,Yes,Not sure/Don't know,"No, have not done this","No, have not done this","No, have not done this",Employed full-time,No,Male,59,"Some college, no degree (includes some community college)",No,White,"$50,000 to under $75,000"
298,Landline,Oregon,West,Rural,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Employed part-time,No,Male,63,"Some college, no degree (includes some community college)",No,White,"$20,000 to under $30,000"
299,Landline,California,West,Urban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Employed full-time,No,Male,43,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,"$40,000 to under $50,000"
300,Landline,Washington,West,Rural,Yes,"Yes, smartphone","No, have not done this","No, have not done this","No, have not done this",Employed part-time,No,Male,72,Two year associate degree from a college or university,No,White,"$20,000 to under $30,000"
301,Landline,California,West,Suburban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Female,75,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,"$10,000 to under $20,000"
302,Landline,California,West,Suburban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Not employed,No,Male,71,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,"$40,000 to under $50,000"
303,Landline,California,West,Urban,No,NA,NA,NA,NA,Not employed,No,Female,18,"Some college, no degree (includes some community college)",Yes,White,(DO NOT READ) Donêt know/Refused
304,Landline,California,West,Suburban,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,Yes,Male,46,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,"$75,000 to under $100,000"
305,Landline,Washington,West,Suburban,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,Yes,Female,20,"Some college, no degree (includes some community college)",Yes,(DO NOT READ) Donêt know/Refused,"$30,000 to under $40,000"
306,Landline,Maine,Northeast,Rural,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","Yes, have done this",Not employed,No,Female,60,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,(DO NOT READ) Donêt know/Refused
307,Landline,Virginia,South,Rural,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Employed full-time,No,Female,77,"Some college, no degree (includes some community college)",No,White,"$50,000 to under $75,000"
308,Landline,Michigan,Midwest,Suburban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Not employed,Yes,Female,58,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),No,White,"$20,000 to under $30,000"
309,Landline,Indiana,Midwest,Rural,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,No,Female,58,"Some college, no degree (includes some community college)",No,White,"$20,000 to under $30,000"
310,Landline,Connecticut,Northeast,Suburban,Yes,"Yes, smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,Yes,Female,35,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,"$50,000 to under $75,000"
311,Landline,Pennsylvania,Northeast,Suburban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Not employed,No,Female,79,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$10,000 to under $20,000"
312,Landline,New York,Northeast,Suburban,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,Yes,Male,50,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,"$150,000 or over"
313,Landline,Tennessee,South,Rural,No,NA,NA,NA,NA,Employed full-time,Yes,Male,48,High school graduate (Grade 12 with diploma or GED certificate),No,White,(DO NOT READ) Donêt know/Refused
314,Landline,South Carolina,South,Suburban,Yes,Not sure/Don't know,"No, have not done this","No, have not done this","No, have not done this",Employed full-time,No,Female,64,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,Black or African-American,"$20,000 to under $30,000"
315,Landline,Rhode Island,Northeast,Suburban,No,NA,NA,NA,NA,Not employed,No,Male,72,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$10,000 to under $20,000"
316,Landline,Pennsylvania,Northeast,Urban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Not employed,No,Female,62,High school graduate (Grade 12 with diploma or GED certificate),No,Black or African-American,"$30,000 to under $40,000"
317,Landline,Tennessee,South,Rural,No,NA,NA,NA,NA,Not employed,No,Female,62,"Some college, no degree (includes some community college)",No,White,"$30,000 to under $40,000"
318,Landline,Iowa,Midwest,Suburban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,No,Male,66,Two year associate degree from a college or university,No,White,"$75,000 to under $100,000"
319,Landline,Kentucky,South,Suburban,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,Yes,Female,31,"Some college, no degree (includes some community college)",No,White,(DO NOT READ) Donêt know/Refused
320,Landline,Wisconsin,Midwest,Rural,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,Yes,Male,44,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,"$50,000 to under $75,000"
321,Landline,Pennsylvania,Northeast,Suburban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,Yes,Male,35,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$30,000 to under $40,000"
322,Landline,Oklahoma,South,Suburban,Yes,"Yes, smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,Yes,Female,39,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$40,000 to under $50,000"
323,Landline,Minnesota,Midwest,Suburban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Female,67,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,"$40,000 to under $50,000"
324,Landline,Mississippi,South,Suburban,Yes,"Yes, smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Female,60,Two year associate degree from a college or university,No,Black or African-American,"$20,000 to under $30,000"
325,Landline,Tennessee,South,Rural,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,Yes,Male,66,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$10,000 to under $20,000"
